date,id_punto,value,x,y
2004-07-01,PO012026NU3021,168.22199999999998,486383.0,5048270.0
2004-08-01,PO012026NU3021,168.172,486383.0,5048270.0
2004-09-01,PO012026NU3021,168.47199999999998,486383.0,5048270.0
2004-10-01,PO012026NU3021,168.572,486383.0,5048270.0
2004-11-01,PO012026NU3021,168.572,486383.0,5048270.0
2004-12-01,PO012026NU3021,168.572,486383.0,5048270.0
2005-01-01,PO012026NU3021,168.572,486383.0,5048270.0
2005-02-01,PO012026NU3021,169.122,486383.0,5048270.0
2005-03-01,PO012026NU3021,169.102,486383.0,5048270.0
2005-04-01,PO012026NU3021,167.702,486383.0,5048270.0
2005-05-01,PO012026NU3021,167.862,486383.0,5048270.0
2005-06-01,PO012026NU3021,168.132,486383.0,5048270.0
2005-07-01,PO012026NU3021,167.672,486383.0,5048270.0
2005-08-01,PO012026NU3021,166.832,486383.0,5048270.0
2005-09-01,PO012026NU3021,166.892,486383.0,5048270.0
2005-10-01,PO012026NU3021,166.862,486383.0,5048270.0
2005-11-01,PO012026NU3021,165.322,486383.0,5048270.0
2005-12-01,PO012026NU3021,166.812,486383.0,5048270.0
2006-01-01,PO012026NU3021,165.962,486383.0,5048270.0
2006-02-01,PO012026NU3021,165.742,486383.0,5048270.0
2006-03-01,PO012026NU3021,166.142,486383.0,5048270.0
2006-04-01,PO012026NU3021,165.512,486383.0,5048270.0
2006-05-01,PO012026NU3021,165.522,486383.0,5048270.0
2006-06-01,PO012026NU3021,165.162,486383.0,5048270.0
2006-07-01,PO012026NU3021,164.97199999999998,486383.0,5048270.0
2006-08-01,PO012026NU3021,165.492,486383.0,5048270.0
2006-10-01,PO012026NU3021,165.252,486383.0,5048270.0
2006-11-01,PO012026NU3021,165.182,486383.0,5048270.0
2006-12-01,PO012026NU3021,165.202,486383.0,5048270.0
2007-01-01,PO012026NU3021,164.922,486383.0,5048270.0
2007-02-01,PO012026NU3021,164.902,486383.0,5048270.0
2007-03-01,PO012026NU3021,164.642,486383.0,5048270.0
2007-04-01,PO012026NU3021,164.632,486383.0,5048270.0
2007-05-01,PO012026NU3021,164.632,486383.0,5048270.0
2007-07-01,PO012026NU3021,164.462,486383.0,5048270.0
2007-08-01,PO012026NU3021,164.252,486383.0,5048270.0
2007-09-01,PO012026NU3021,163.872,486383.0,5048270.0
2007-10-01,PO012026NU3021,163.872,486383.0,5048270.0
2007-11-01,PO012026NU3021,164.022,486383.0,5048270.0
2008-01-01,PO012026NU3021,163.22199999999998,486383.0,5048270.0
2008-02-01,PO012026NU3021,163.212,486383.0,5048270.0
2008-03-01,PO012026NU3021,163.192,486383.0,5048270.0
2008-04-01,PO012026NU3021,163.162,486383.0,5048270.0
2008-05-01,PO012026NU3021,163.252,486383.0,5048270.0
2008-06-01,PO012026NU3021,163.322,486383.0,5048270.0
2008-07-01,PO012026NU3021,163.432,486383.0,5048270.0
2008-08-01,PO012026NU3021,163.392,486383.0,5048270.0
2008-09-01,PO012026NU3021,163.502,486383.0,5048270.0
2008-10-01,PO012026NU3021,163.622,486383.0,5048270.0
2008-11-01,PO012026NU3021,163.35533333333333,486383.0,5048270.0
2008-12-01,PO012026NU3021,163.34199999999998,486383.0,5048270.0
2009-02-01,PO012026NU3021,165.40699999999998,486383.0,5048270.0
2009-03-01,PO012026NU3021,166.482,486383.0,5048270.0
2009-04-01,PO012026NU3021,166.022,486383.0,5048270.0
2009-05-01,PO012026NU3021,166.052,486383.0,5048270.0
2009-06-01,PO012026NU3021,167.212,486383.0,5048270.0
2009-07-01,PO012026NU3021,167.372,486383.0,5048270.0
2009-08-01,PO012026NU3021,167.542,486383.0,5048270.0
2009-09-01,PO012026NU3021,167.352,486383.0,5048270.0
2009-10-01,PO012026NU3021,167.552,486383.0,5048270.0
2009-11-01,PO012026NU3021,167.202,486383.0,5048270.0
2009-12-01,PO012026NU3021,167.462,486383.0,5048270.0
2010-01-01,PO012026NU3021,166.872,486383.0,5048270.0
2010-02-01,PO012026NU3021,167.442,486383.0,5048270.0
2010-04-01,PO012026NU3021,167.49699999999999,486383.0,5048270.0
2010-05-01,PO012026NU3021,167.392,486383.0,5048270.0
2010-06-01,PO012026NU3021,168.672,486383.0,5048270.0
2010-07-01,PO012026NU3021,168.78199999999998,486383.0,5048270.0
2010-08-01,PO012026NU3021,168.892,486383.0,5048270.0
2010-09-01,PO012026NU3021,168.862,486383.0,5048270.0
2010-10-01,PO012026NU3021,168.78199999999998,486383.0,5048270.0
2010-11-01,PO012026NU3021,169.352,486383.0,5048270.0
2010-12-01,PO012026NU3021,169.53199999999998,486383.0,5048270.0
2011-01-01,PO012026NU3021,169.812,486383.0,5048270.0
2011-02-01,PO012026NU3021,170.522,486383.0,5048270.0
2011-03-01,PO012026NU3021,170.422,486383.0,5048270.0
2011-04-01,PO012026NU3021,170.872,486383.0,5048270.0
2011-05-01,PO012026NU3021,170.642,486383.0,5048270.0
2011-06-01,PO012026NU3021,170.562,486383.0,5048270.0
2011-07-01,PO012026NU3021,170.28199999999998,486383.0,5048270.0
2011-08-01,PO012026NU3021,170.172,486383.0,5048270.0
2011-09-01,PO012026NU3021,169.872,486383.0,5048270.0
2011-10-01,PO012026NU3021,169.732,486383.0,5048270.0
2011-11-01,PO012026NU3021,169.802,486383.0,5048270.0
2011-12-01,PO012026NU3021,169.59199999999998,486383.0,5048270.0
2012-01-01,PO012026NU3021,169.462,486383.0,5048270.0
2012-02-01,PO012026NU3021,169.122,486383.0,5048270.0
2012-03-01,PO012026NU3021,168.78199999999998,486383.0,5048270.0
2012-04-01,PO012026NU3021,168.542,486383.0,5048270.0
2012-05-01,PO012026NU3021,168.292,486383.0,5048270.0
2012-06-01,PO012026NU3021,168.062,486383.0,5048270.0
2012-07-01,PO012026NU3021,167.942,486383.0,5048270.0
2012-08-01,PO012026NU3021,167.872,486383.0,5048270.0
2012-09-01,PO012026NU3021,167.78199999999998,486383.0,5048270.0
2012-10-01,PO012026NU3021,167.822,486383.0,5048270.0
2012-11-01,PO012026NU3021,167.84199999999998,486383.0,5048270.0
2012-12-01,PO012026NU3021,167.942,486383.0,5048270.0
2013-01-01,PO012026NU3021,167.802,486383.0,5048270.0
2013-02-01,PO012026NU3021,167.692,486383.0,5048270.0
2013-03-01,PO012026NU3021,167.602,486383.0,5048270.0
2013-04-01,PO012026NU3021,167.732,486383.0,5048270.0
2013-05-01,PO012026NU3021,167.72199999999998,486383.0,5048270.0
2013-06-01,PO012026NU3021,167.882,486383.0,5048270.0
2013-07-01,PO012026NU3021,167.882,486383.0,5048270.0
2013-08-01,PO012026NU3021,167.952,486383.0,5048270.0
2013-09-01,PO012026NU3021,167.822,486383.0,5048270.0
2013-10-01,PO012026NU3021,167.832,486383.0,5048270.0
2013-11-01,PO012026NU3021,167.692,486383.0,5048270.0
2013-12-01,PO012026NU3021,167.802,486383.0,5048270.0
2014-01-01,PO012026NU3021,167.732,486383.0,5048270.0
2014-02-01,PO012026NU3021,169.052,486383.0,5048270.0
2014-03-01,PO012026NU3021,169.692,486383.0,5048270.0
2014-04-01,PO012026NU3021,170.012,486383.0,5048270.0
2014-05-01,PO012026NU3021,169.982,486383.0,5048270.0
2014-06-01,PO012026NU3021,169.912,486383.0,5048270.0
2014-07-01,PO012026NU3021,169.78199999999998,486383.0,5048270.0
2014-08-01,PO012026NU3021,170.372,486383.0,5048270.0
2014-09-01,PO012026NU3021,170.472,486383.0,5048270.0
2014-10-01,PO012026NU3021,170.642,486383.0,5048270.0
2014-11-01,PO012026NU3021,171.112,486383.0,5048270.0
2014-12-01,PO012026NU3021,171.732,486383.0,5048270.0
2015-01-01,PO012026NU3021,172.052,486383.0,5048270.0
2015-02-01,PO012026NU3021,171.722,486383.0,5048270.0
2015-03-01,PO012026NU3021,171.872,486383.0,5048270.0
2015-04-01,PO012026NU3021,171.752,486383.0,5048270.0
2015-05-01,PO012026NU3021,171.852,486383.0,5048270.0
2015-06-01,PO012026NU3021,171.692,486383.0,5048270.0
2015-07-01,PO012026NU3021,171.312,486383.0,5048270.0
2015-08-01,PO012026NU3021,171.452,486383.0,5048270.0
2015-09-01,PO012026NU3021,171.392,486383.0,5048270.0
2015-10-01,PO012026NU3021,171.412,486383.0,5048270.0
2015-11-01,PO012026NU3021,171.242,486383.0,5048270.0
2015-12-01,PO012026NU3021,171.272,486383.0,5048270.0
2016-01-01,PO012026NU3021,173.922,486383.0,5048270.0
2016-02-01,PO012026NU3021,173.432,486383.0,5048270.0
2016-03-01,PO012026NU3021,173.392,486383.0,5048270.0
2016-04-01,PO012026NU3021,173.142,486383.0,5048270.0
2016-05-01,PO012026NU3021,173.052,486383.0,5048270.0
2016-06-01,PO012026NU3021,172.992,486383.0,5048270.0
2016-07-01,PO012026NU3021,172.882,486383.0,5048270.0
2016-08-01,PO012026NU3021,172.882,486383.0,5048270.0
2016-09-01,PO012026NU3021,172.832,486383.0,5048270.0
2016-10-01,PO012026NU3021,172.822,486383.0,5048270.0
2016-11-01,PO012026NU3021,172.652,486383.0,5048270.0
2016-12-01,PO012026NU3021,172.78199999999998,486383.0,5048270.0
2017-01-01,PO012026NU3021,172.562,486383.0,5048270.0
2017-03-01,PO012026NU3021,172.247,486383.0,5048270.0
2017-04-01,PO012026NU3021,171.862,486383.0,5048270.0
2017-05-01,PO012026NU3021,171.772,486383.0,5048270.0
2017-06-01,PO012026NU3021,171.392,486383.0,5048270.0
2017-07-01,PO012026NU3021,171.152,486383.0,5048270.0
2017-08-01,PO012026NU3021,171.222,486383.0,5048270.0
2017-09-01,PO012026NU3021,171.142,486383.0,5048270.0
2017-10-01,PO012026NU3021,171.022,486383.0,5048270.0
2018-01-01,PO012026NU3021,170.877,486383.0,5048270.0
2018-02-01,PO012026NU3021,170.562,486383.0,5048270.0
2018-03-01,PO012026NU3021,170.372,486383.0,5048270.0
2018-04-01,PO012026NU3021,170.242,486383.0,5048270.0
2018-05-01,PO012026NU3021,170.262,486383.0,5048270.0
2018-06-01,PO012026NU3021,170.062,486383.0,5048270.0
2018-07-01,PO012026NU3021,170.012,486383.0,5048270.0
2018-08-01,PO012026NU3021,170.062,486383.0,5048270.0
2018-09-01,PO012026NU3021,170.152,486383.0,5048270.0
2018-10-01,PO012026NU3021,170.052,486383.0,5048270.0
2018-11-01,PO012026NU3021,170.462,486383.0,5048270.0
2018-12-01,PO012026NU3021,170.402,486383.0,5048270.0
2019-02-01,PO012026NU3021,170.472,486383.0,5048270.0
2019-03-01,PO012026NU3021,170.34199999999998,486383.0,5048270.0
2019-04-01,PO012026NU3021,170.262,486383.0,5048270.0
2019-05-01,PO012026NU3021,170.102,486383.0,5048270.0
2019-07-01,PO012026NU3021,166.752,486383.0,5048270.0
2019-08-01,PO012026NU3021,169.582,486383.0,5048270.0
2019-09-01,PO012026NU3021,169.53199999999998,486383.0,5048270.0
2019-10-01,PO012026NU3021,169.772,486383.0,5048270.0
2019-12-01,PO012026NU3021,169.627,486383.0,5048270.0
2020-01-01,PO012026NU3021,169.972,486383.0,5048270.0
2020-02-01,PO012026NU3021,167.232,486383.0,5048270.0
2020-03-01,PO012026NU3021,170.022,486383.0,5048270.0
2020-04-01,PO012026NU3021,169.522,486383.0,5048270.0
2020-05-01,PO012026NU3021,169.902,486383.0,5048270.0
2020-06-01,PO012026NU3021,169.84199999999998,486383.0,5048270.0
2020-08-01,PO012026NU3021,169.672,486383.0,5048270.0
2020-09-01,PO012026NU3021,169.722,486383.0,5048270.0
2020-10-01,PO012026NU3021,169.872,486383.0,5048270.0
2020-11-01,PO012026NU3021,170.122,486383.0,5048270.0
2020-12-01,PO012026NU3021,170.102,486383.0,5048270.0
2021-02-01,PO012026NU3021,170.417,486383.0,5048270.0
2021-03-01,PO012026NU3021,170.732,486383.0,5048270.0
2021-04-01,PO012026NU3021,170.542,486383.0,5048270.0
2021-05-01,PO012026NU3021,170.582,486383.0,5048270.0
2021-06-01,PO012026NU3021,170.442,486383.0,5048270.0
2021-07-01,PO012026NU3021,170.222,486383.0,5048270.0
2021-09-01,PO012026NU3021,170.332,486383.0,5048270.0
2021-10-01,PO012026NU3021,170.432,486383.0,5048270.0
2021-11-01,PO012026NU3021,170.442,486383.0,5048270.0
2021-12-01,PO012026NU3021,170.512,486383.0,5048270.0
2022-01-01,PO012026NU3021,170.292,486383.0,5048270.0
2022-02-01,PO012026NU3021,170.332,486383.0,5048270.0
2022-03-01,PO012026NU3021,170.34199999999998,486383.0,5048270.0
2022-04-01,PO012026NU3021,170.122,486383.0,5048270.0
2022-05-01,PO012026NU3021,169.952,486383.0,5048270.0
2022-06-01,PO012026NU3021,169.852,486383.0,5048270.0
2022-07-01,PO012026NU3021,169.232,486383.0,5048270.0
2022-08-01,PO012026NU3021,169.34199999999998,486383.0,5048270.0
2022-09-01,PO012026NU3021,168.862,486383.0,5048270.0
2022-10-01,PO012026NU3021,168.992,486383.0,5048270.0
2022-11-01,PO012026NU3021,169.502,486383.0,5048270.0
2023-01-01,PO012026NU3021,168.672,486383.0,5048270.0
2023-02-01,PO012026NU3021,168.257,486383.0,5048270.0
2023-03-01,PO012026NU3021,167.872,486383.0,5048270.0
2023-04-01,PO012026NU3021,167.78199999999998,486383.0,5048270.0
2023-05-01,PO012026NU3021,167.702,486383.0,5048270.0
2023-06-01,PO012026NU3021,167.602,486383.0,5048270.0
2023-07-01,PO012026NU3021,167.682,486383.0,5048270.0
2023-08-01,PO012026NU3021,167.732,486383.0,5048270.0
2023-09-01,PO012026NU3021,167.832,486383.0,5048270.0
2023-10-01,PO012026NU3021,167.742,486383.0,5048270.0
2023-11-01,PO012026NU3021,167.872,486383.0,5048270.0
2023-12-01,PO012026NU3021,168.102,486383.0,5048270.0
2005-12-01,PO0120500RZ001,200.102,495380.0,5054832.0
2006-01-01,PO0120500RZ001,199.982,495380.0,5054832.0
2006-02-01,PO0120500RZ001,199.892,495380.0,5054832.0
2006-03-01,PO0120500RZ001,199.712,495380.0,5054832.0
2006-04-01,PO0120500RZ001,199.522,495380.0,5054832.0
2006-05-01,PO0120500RZ001,199.402,495380.0,5054832.0
2006-06-01,PO0120500RZ001,199.262,495380.0,5054832.0
2006-07-01,PO0120500RZ001,199.132,495380.0,5054832.0
2006-08-01,PO0120500RZ001,199.022,495380.0,5054832.0
2006-09-01,PO0120500RZ001,198.972,495380.0,5054832.0
2006-10-01,PO0120500RZ001,198.812,495380.0,5054832.0
2006-11-01,PO0120500RZ001,198.692,495380.0,5054832.0
2006-12-01,PO0120500RZ001,198.602,495380.0,5054832.0
2007-02-01,PO0120500RZ001,198.512,495380.0,5054832.0
